ID_Ticket,ID_Empresa,ID_Tecnico,Fecha_Solicitud,Fecha_Resolucion,Tipo_Servicio,Horas_Facturadas,Costo_Repuestos_USD,Tiempo_Resolucion_Horas,Ingreso_Total_USD,Nombre_Empresa,Tamano_Flota,Tipo_Contrato,Fecha_Alta,Nombre_Tecnico,Especialidad,Seniority
TK-100000,5558,890,2025-02-15 04:07:58,2025-02-16 08:07:58,Preventivo,2.3,52.5,28.0,179.0,Perez-Rodriguez,100,Pay-per-use,2023-06-11,Sr(a). Lautaro Gonzalez,Alta Tension,Semi-Senior
TK-100001,8740,422,2026-03-04 05:30:22,2026-03-09 07:30:22,Correctivo Software,9.5,1079.71,122.0,1602.21,"Rivero, Navarro and Herrera",10,Suscripcion,2025-12-22,Ana Paula Guzman,Mecanica General,Junior
TK-100002,2264,407,2024-07-01 02:56:48,2024-07-03 03:56:48,Correctivo Software,2.8,321.8,49.0,475.8,Farias-Gomez,100,Pay-per-use,2025-08-27,Alma Valentina Gomez Farias,Mecanica General,Semi-Senior
TK-100003,1710,456,2026-01-20 22:53:19,2026-01-25 02:53:19,Correctivo Software,9.3,1111.72,100.0,1623.22,"Vargas, Aguero and Pereyra",10,Suscripcion,2025-04-22,Simon Toledo Ramos,Mecanica General,Semi-Senior
TK-100004,8483,728,2025-07-02 00:46:16,2025-07-04 07:46:16,Correctivo Software,5.1,1330.09,55.0,1610.59,"Fernandez, Lopez and Juarez",10,Pay-per-use,2023-12-10,Tomàs Pedro Gonzalez,Alta Tension,Semi-Senior
TK-100005,7930,344,2025-03-17 20:20:18,2025-03-18 22:20:18,Preventivo,1.3,145.72,26.0,217.22,"Campos, Toledo and Castro",50,Suscripcion,2025-06-06,Juan Ignacio Thiago Fernandez Alvarez,Mecanica General,Junior
TK-100006,6511,675,2024-10-29 03:01:17,2024-10-30 04:01:17,Preventivo,1.2,134.75,25.0,200.75,"Rivero, Rojas and Vega",10,Suscripcion,2024-08-19,Dr(a). Renata Aguirre,Software,Semi-Senior
TK-100007,6082,319,2025-04-11 15:30:18,2025-04-15 17:30:18,Correctivo Mecanico,7.6,1465.05,98.0,1883.05,"Quiroga, Ruiz and Luna",10,Suscripcion,2023-09-20,Victoria Federico Arias,Software,Semi-Senior
TK-100008,6123,780,2026-02-12 14:39:06,2026-02-15 18:39:06,Correctivo Mecanico,10.4,1004.08,76.0,1576.08,Coronel Group,100,Suscripcion,2025-07-19,Mateo Tomas Ortiz Moreno,Alta Tension,Semi-Senior
TK-100009,9540,349,2024-10-24 11:34:29,2024-10-25 13:34:29,Preventivo,1.1,72.79,26.0,133.29000000000002,Ramirez LLC,10,Suscripcion,2023-08-14,Sr(a). Nicolas Romero,Software,Senior
TK-100010,8066,933,2025-06-01 04:31:56,2025-06-05 10:31:56,Correctivo Software,10.7,694.16,102.0,1282.6599999999999,Duarte LLC,10,Suscripcion,2026-01-04,Bastian Salvador Carrizo Sanchez,Alta Tension,Junior
